token,z,z_N,N,r
medborgarkort,0,2,103,0.017787610619469
tegång,0,2,103,0.017787610619469
nhnn,0,5,273,0.0177031802120141
magiken,0,2,104,0.0176315789473684
felkörningar,0,2,105,0.0174782608695652
skadeslöst,0,2,105,0.0174782608695652
phar,0,3,163,0.0173988439306358
plussade,0,3,164,0.0172988505747126
roddarlag,0,3,165,0.0172
sammansätta,0,5,282,0.0171575342465753
rikemansklubben,0,2,108,0.0170338983050847
århammar,0,2,108,0.0170338983050847
hillers,0,3,167,0.0170056497175141
lekparkerna,0,3,168,0.0169101123595506
ifylls,0,2,109,0.016890756302521
miljardärskan,0,2,109,0.016890756302521
lantgods,0,5,287,0.0168686868686869
dåvaran,0,2,110,0.01675
nevros,0,2,110,0.01675
rner,0,4,230,0.0167083333333333
statsstipendiat,0,2,111,0.0166115702479339
tt_meddelandet,0,2,112,0.0164754098360656
avdöde,0,2,113,0.0163414634146341
hälst,0,2,113,0.0163414634146341
indones,0,2,113,0.0163414634146341
pumpkin,0,2,113,0.0163414634146341
uplysningar,0,2,113,0.0163414634146341
biskopskulla,0,3,175,0.0162702702702703
njnn,0,3,175,0.0162702702702703
förhånande,0,2,114,0.0162096774193548
independentfilm,0,2,114,0.0162096774193548
gandan,0,2,115,0.01608
halvcirkelformade,0,5,302,0.0160576923076923
kompasskurs,0,2,116,0.015952380952381
lipman,0,2,116,0.015952380952381
männikor,0,2,116,0.015952380952381
komedistil,0,2,117,0.0158267716535433
midjans,0,2,118,0.015703125
vanhelgande,0,3,182,0.0156770833333333
wendelas,0,2,119,0.0155813953488372
årtion,0,2,119,0.0155813953488372
urkoppling,0,3,184,0.0155154639175258
konstundervisning,0,2,120,0.0154615384615385
reversal,0,2,120,0.0154615384615385
kvinnohatet,0,3,186,0.0153571428571429
växelströmmen,0,2,121,0.0153435114503817
kip,0,7,447,0.0153391684901532
bergsluttning,0,2,122,0.0152272727272727
baelen,0,2,123,0.0151127819548872
färgföretag,0,2,123,0.0151127819548872
bentonit,0,2,124,0.015
ungdomsrörelsens,0,4,262,0.0147426470588235
sportarena,0,3,195,0.0146829268292683
bondestudent,0,2,127,0.0146715328467153
armeöverste,0,3,196,0.0146116504854369
aij,0,2,129,0.0144604316546763
rimlexikon,0,2,129,0.0144604316546763
stalten,0,3,199,0.0144019138755981
mälarskog,0,2,131,0.0142553191489362
observationspunkt,0,2,131,0.0142553191489362
orosmomenten,0,2,131,0.0142553191489362
orum,0,2,132,0.0141549295774648
vulva,0,2,132,0.0141549295774648
orkesterverken,0,2,133,0.0140559440559441
nerfarten,0,3,205,0.014
liis,0,2,134,0.0139583333333333
godsinta,0,2,135,0.0138620689655172
pocketbooks,0,2,135,0.0138620689655172
jättekvinna,0,2,136,0.0137671232876712
klag,0,2,136,0.0137671232876712
trendsättande,0,2,136,0.0137671232876712
dancin,0,2,137,0.0136734693877551
jättetuff,0,2,137,0.0136734693877551
infiltrationer,0,2,138,0.0135810810810811
tunnans,0,2,138,0.0135810810810811
futuristiskt,0,4,286,0.0135472972972973
tavelram,0,2,139,0.013489932885906
luftbössa,0,2,140,0.0134
atthan,0,4,290,0.0133666666666667
styroch,0,3,217,0.0132599118942731
gagen,0,2,142,0.0132236842105263
nummi,0,2,142,0.0132236842105263
säkerhetsofficerare,0,2,143,0.0131372549019608
villrådige,0,2,144,0.0130519480519481
flygplanstyperna,0,3,222,0.0129741379310345
kånkat,0,4,300,0.0129354838709677
bägga,0,2,146,0.0128846153846154
kagghamra,0,2,146,0.0128846153846154
beroen,0,5,380,0.0128461538461538
repig,0,3,228,0.0126470588235294
förbundspampen,0,2,149,0.0126415094339623
jakobsbergsskolan,0,2,149,0.0126415094339623
måln,0,2,149,0.0126415094339623
tistiken,0,2,149,0.0126415094339623
inver,0,2,153,0.0123312883435583
plastinbakade,0,2,153,0.0123312883435583
topptränade,0,3,235,0.0122857142857143
cosmorama,0,2,155,0.0121818181818182
källgrens,0,2,156,0.0121084337349398
hemmakvinnor,0,4,322,0.012078313253012
gangsterbrud,0,3,241,0.01199203187251
marknadsorientering,0,4,327,0.0118991097922849
byggnadsdirektör,0,2,159,0.0118934911242604
övningsmaterial,0,2,159,0.0118934911242604
silverband,0,2,161,0.0117543859649123
datateknologi,0,2,163,0.0116184971098266
rox,0,2,163,0.0116184971098266
snigeltakt,0,2,164,0.011551724137931
bestraffningsmetoder,0,2,165,0.0114857142857143
skeppsbyggarna,0,2,165,0.0114857142857143
jakobsens,0,2,166,0.0114204545454545
oberäknade,0,3,255,0.0113584905660377
ockiå,0,2,167,0.0113559322033898
skräckbilderna,0,2,168,0.0112921348314607
faj,0,2,170,0.0111666666666667
skriftlärd,0,2,170,0.0111666666666667
gränstrakten,0,3,261,0.0111070110701107
böf,0,2,171,0.0111049723756906
expeditionella,0,2,171,0.0111049723756906
sambaorkester,0,2,174,0.0109239130434783
okanläggningar,0,2,175,0.0108648648648649
borgarskolas,0,2,177,0.0107486631016043
bodda,0,2,178,0.0106914893617021
sammanhållningens,0,3,276,0.0105244755244755
drogpåverkan,0,2,182,0.01046875
ledningsfunktioner,0,3,278,0.0104513888888889
ödeborg,0,3,278,0.0104513888888889
djamila,0,2,186,0.0102551020408163
ovilligheten,0,3,285,0.0102033898305085
orgelsolo,0,2,187,0.0102030456852792
festsupe,0,2,194,0.00985294117647059
lavie,0,2,195,0.00980487804878049
jligt,0,2,196,0.00975728155339806
radioteknisk,0,2,198,0.00966346153846154
ashlee,0,1,95,0.00961904761904762
flox,0,2,200,0.00957142857142857
kontraktsskrivningen,0,2,201,0.0095260663507109
stj,0,4,414,0.00945754716981132
bräddfyllda,0,2,203,0.00943661971830986
honn,0,2,203,0.00943661971830986
tengah,0,3,314,0.00929012345679012
skövlat,0,9,962,0.00926954732510288
fåmansföretag,0,3,316,0.00923312883435583
medicinstuderande,0,5,537,0.00915904936014625
felkoppling,0,3,319,0.00914893617021277
byggklotsar,0,2,210,0.00913636363636363
osan,0,2,210,0.00913636363636363
tvvisningen,0,2,212,0.00905405405405405
ths,0,2,213,0.00901345291479821
uppställande,0,2,213,0.00901345291479821
monokroma,0,3,325,0.00898507462686567
valedningar,0,2,214,0.00897321428571429
tnom,0,2,216,0.00889380530973451
välklang,0,2,216,0.00889380530973451
badplager,0,1,104,0.00885964912280702
hallarnas,0,2,218,0.00881578947368421
pepes,0,2,220,0.00873913043478261
delgada,0,2,221,0.0087012987012987
gratisprogram,0,2,222,0.00866379310344828
absens,0,1,107,0.00863247863247863
arbetslivsinstitutets,0,1,107,0.00863247863247863
annonssäljare,0,2,223,0.00862660944206009
kristusbilden,0,2,223,0.00862660944206009
specialdesignat,0,2,223,0.00862660944206009
energiråvaror,0,2,224,0.00858974358974359
stpr,0,2,225,0.0085531914893617
trafikkaoset,0,5,583,0.00844856661045531
brentwood,0,2,228,0.0084453781512605
bangade,0,1,112,0.00827868852459016
vsa,0,4,478,0.0082172131147541
välbekante,0,4,478,0.0082172131147541
arph,0,1,113,0.00821138211382114
barnekipering,0,1,113,0.00821138211382114
stroppar,0,2,235,0.00820408163265306
företagssidan,0,2,237,0.00813765182186235
kraftinsatser,0,2,237,0.00813765182186235
värmeledningar,0,2,237,0.00813765182186235
gärsgårn,0,3,364,0.00804812834224599
skadegörande,0,2,241,0.00800796812749004
akiva,0,1,117,0.00795275590551181
johnzon,0,2,245,0.00788235294117647
ledartrojkan,0,2,246,0.0078515625
amanska,0,1,119,0.00782945736434109
anhopade,0,1,119,0.00782945736434109
stockholmspressens,0,2,248,0.0077906976744186
slutintryck,0,2,250,0.00773076923076923
avannhjördis,0,2,251,0.00770114942528736
affekten,0,1,122,0.00765151515151515
lore,0,3,384,0.00763959390862944
mdd,0,2,259,0.00747211895910781
abelli,0,1,126,0.00742647058823529
arbetslöshetsnämndens,0,1,126,0.00742647058823529
aritmetiken,0,1,127,0.00737226277372263
avgiftspolitik,0,1,127,0.00737226277372263
avgiftsbeläggs,0,1,128,0.00731884057971015
backsluttning,0,1,128,0.00731884057971015
nomadfolk,0,2,265,0.00730909090909091
oljas,0,2,271,0.00715302491103203
troman,0,3,413,0.00711583924349882
castell,0,2,276,0.00702797202797203
attacke,0,1,134,0.00701388888888889
rasfrågorna,0,2,278,0.00697916666666667
belys,0,2,279,0.00695501730103806
inträdd,0,2,279,0.00695501730103806
kiskt,0,2,280,0.00693103448275862
anting,0,1,137,0.00687074829931973
sarris,0,2,286,0.00679054054054054
andrehnschiptjenko,0,1,140,0.00673333333333333
edstedt,0,2,295,0.00659016393442623
kristalliseras,0,2,296,0.00656862745098039
örlog,0,2,297,0.00654723127035831
institutionschef,0,2,298,0.00652597402597403
inkarnerade,0,2,299,0.00650485436893204
hemnia,0,4,613,0.00643659711075441
vanvårdad,0,3,469,0.0062839248434238
avmattats,0,1,152,0.00623456790123457
spärrning,0,2,313,0.00622291021671827
armskador,0,1,153,0.00619631901840491
uppiggade,0,2,318,0.0061280487804878
browall,0,2,323,0.00603603603603604
gatunivå,0,2,323,0.00603603603603604
filmatisera,0,2,324,0.00601796407185629
allu,0,1,161,0.00590643274853801
försoningspolitik,0,2,334,0.00584302325581395
annemargrete,0,1,163,0.00583815028901734
azovska,0,1,163,0.00583815028901734
nedstänkt,0,2,335,0.00582608695652174
tonårsdottern,0,2,338,0.00577586206896552
arlmark,0,1,165,0.00577142857142857
bildskön,0,3,516,0.00572243346007604
sammanslagits,0,2,344,0.00567796610169492
amies,0,1,171,0.00558011049723757
förståndige,0,2,351,0.00556786703601108
åsarnas,0,2,356,0.00549180327868852
angry,0,3,542,0.00545289855072464
bevingad,0,3,542,0.00545289855072464
peary,0,2,359,0.00544715447154472
nörd,0,2,366,0.00534574468085106
pralin,0,2,367,0.0053315649867374
stagh,0,2,368,0.00531746031746032
badtvål,0,1,183,0.00523316062176166
jönses,0,2,379,0.00516709511568123
aspelare,0,1,186,0.0051530612244898
övervakningskameran,0,2,384,0.00510152284263959
framkommen,0,2,385,0.00508860759493671
monarkien,0,5,979,0.00506572295247725
automobilen,0,2,393,0.00498759305210918
ordsvall,0,2,394,0.00497524752475248
proctor,0,2,395,0.00496296296296296
vadslagningen,0,2,395,0.00496296296296296
barflicka,0,1,197,0.0048792270531401
reportagebil,0,2,402,0.00487864077669903
pulvriserad,0,2,405,0.0048433734939759
huvudintressent,0,2,406,0.00483173076923077
suzukis,0,2,406,0.00483173076923077
apparatinnehavare,0,1,203,0.00474178403755869
snd,0,3,638,0.00464506172839506
audiologi,0,1,208,0.00463302752293578
armehelikopter,0,2,427,0.00459954233409611
slf,0,2,428,0.00458904109589041
corny,0,2,432,0.00454751131221719
hick,0,2,433,0.0045372460496614
ericksson,0,4,876,0.00452595936794582
skiftarbetet,0,2,438,0.00448660714285714
urartning,0,4,890,0.00445555555555556
världsarvet,0,2,444,0.0044273127753304
skoluniformer,0,2,448,0.00438864628820961
tivolin,0,2,473,0.00416149068322981
tv_debatterna,0,2,477,0.00412731006160164
flerfaldige,0,4,992,0.00400199600798403
underbenen,0,2,501,0.0039334637964775
avkylning,0,5,1275,0.0038988326848249
arbetstidskommitten,0,1,257,0.00378277153558052
naprapat,0,2,538,0.00366788321167883
skops,0,2,540,0.00365454545454545
kletig,0,2,553,0.00357015985790409
lyxhotellen,0,4,1118,0.00355496453900709
dolska,0,3,842,0.00353286384976526
premiärens,0,2,567,0.00348353552859619
bondesamhälle,0,2,570,0.00346551724137931
croydon,0,3,870,0.00342045454545455
avseglat,0,1,287,0.0034006734006734
backväxeln,0,1,292,0.00334437086092715
viran,0,2,598,0.00330592105263158
orkestermusik,0,3,904,0.00329321663019694
badtunna,0,1,304,0.00321656050955414
teknologier,0,3,966,0.00308401639344262
bruse,0,2,649,0.00305007587253414
abcbok,0,2,652,0.00303625377643505
persianpäls,0,2,687,0.00288378766140603
alassio,0,1,348,0.00282122905027933
barnbespisning,0,1,353,0.00278236914600551
atomindustrin,0,1,362,0.00271505376344086
premierade,0,2,751,0.00264126149802891
slöjdläraren,0,2,754,0.00263089005235602
morgontidningarnas,0,2,776,0.00255725190839695
outtömliga,0,6,2427,0.0024661469019286
asfalteras,0,1,406,0.00242788461538462
sverigedanmark,0,2,822,0.00241586538461538
pistolerna,0,4,1668,0.00238974970202622
utforskat,0,4,1695,0.00235190615835777
gleason,0,2,887,0.00224080267558528
furstlig,0,2,897,0.00221609702315325
assuandammen,0,2,915,0.00217297297297297
arkangelsk,0,1,465,0.00212631578947368
affärsfastigheter,0,1,469,0.00210855949895616
arrival,0,1,472,0.0020954356846473
sjukdomsfallen,0,2,989,0.00201201201201201
formulären,0,2,1014,0.001962890625
dusterna,0,2,1058,0.00188202247191011
bandung,0,1,565,0.00175652173913043
aint,0,1,570,0.00174137931034483
kulturfonden,0,2,1162,0.00171501706484642
magic,0,4,2331,0.00171294318667236
hundkojan,0,2,1164,0.00171209540034072
affärslokaler,0,3,1771,0.00169006176305446
salami,0,2,1183,0.0016848281642917
fjädrarna,0,4,2417,0.00165224557066337
vältrade,0,2,1217,0.00163814180929095
baj,0,1,608,0.00163430420711974
albumets,0,1,622,0.00159810126582278
festdag,0,2,1347,0.00148120854826824
bataljer,0,3,2108,0.00142115203021719
bind,0,3,2187,0.00137005006827492
textilfabrik,0,2,1499,0.00133200795228628
sundh,0,2,1763,0.0011336717428088
adelsmärke,0,2,1769,0.00112984822934233
ajöss,0,1,1005,0.000995073891625616
sulan,0,2,2022,0.000989173228346457
husmors,0,2,2114,0.000946327683615819
gummor,0,3,4142,0.00072495183044316
reklamavdelning,0,2,2825,0.000708994708994709
amorösa,0,1,1514,0.000662729658792651
amber,0,1,1624,0.000618115055079559
tegnergatan,0,2,3246,0.000617321867321867
lugano,0,2,3310,0.000605421686746988
avväga,0,1,1844,0.000544768069039914
albatross,0,1,1931,0.000520350334878928
apostel,0,1,2206,0.000455776173285199
