token,z,z_N,N,r
smyghål,0,3,103,0.0266371681415929
hahahaha,0,5,183,0.0259585492227979
oljerör,0,5,183,0.0259585492227979
förelås,0,4,147,0.0255414012738854
karons,0,4,147,0.0255414012738854
brutaliteter,0,9,343,0.0255240793201133
ekl,0,3,108,0.0255084745762712
felin,0,3,108,0.0255084745762712
legaliserades,0,8,306,0.0253481012658228
tvångsförflyttats,0,8,306,0.0253481012658228
skandalhistorier,0,3,109,0.0252941176470588
födelsehuset,0,3,110,0.0250833333333333
sjukbud,0,3,112,0.024672131147541
obestämbart,0,9,356,0.0246174863387978
gränstrupper,0,5,194,0.0245588235294118
rättstavningen,0,3,113,0.0244715447154472
tatur,0,3,114,0.0242741935483871
iklätts,0,4,156,0.0241566265060241
längo,0,3,116,0.0238888888888889
njt,0,3,117,0.0237007874015748
oföränderligen,0,3,117,0.0237007874015748
upprullad,0,4,162,0.0233139534883721
etil,0,4,163,0.0231791907514451
märkvärdigheten,0,3,120,0.0231538461538462
förnämligast,0,9,385,0.0228101265822785
förstummat,0,5,210,0.0227727272727273
musikkunskaper,0,4,167,0.0226553672316384
ttm,0,3,124,0.0224626865671642
knöck,0,4,171,0.0221546961325967
tman,0,4,171,0.0221546961325967
rostoch,0,3,126,0.0221323529411765
allat,0,4,172,0.022032967032967
fnnamn,0,3,127,0.021970802919708
formers,0,3,129,0.0216546762589928
monin,0,3,131,0.0213475177304965
portförbud,0,3,131,0.0213475177304965
skräckmålning,0,4,179,0.0212169312169312
jättekonsert,0,3,133,0.0210489510489511
genade,0,5,229,0.0209623430962343
försörjningssystem,0,4,187,0.0203553299492386
nobelpriskommitten,0,4,191,0.0199502487562189
upphöll,0,3,141,0.0199337748344371
scenområdet,0,2,91,0.0199009900990099
crn,0,3,142,0.0198026315789474
själr,0,2,92,0.0197058823529412
lördagsträningen,0,5,246,0.0195703125
husbyggarna,0,3,144,0.0195454545454545
framgångsväg,0,3,147,0.019171974522293
beden,0,2,95,0.0191428571428571
stornoway,0,2,95,0.0191428571428571
planboken,0,3,151,0.018695652173913
grundfrågorna,0,6,312,0.0186645962732919
beklag,0,2,98,0.0186111111111111
öo,0,8,423,0.0184988452655889
ventilationsanläggningen,0,4,207,0.0184792626728111
avtalsvillkorslagen,0,2,99,0.0184403669724771
knarkpropaganda,0,2,99,0.0184403669724771
olim,0,2,99,0.0184403669724771
säkerhetsnätet,0,2,100,0.0182727272727273
tillhållit,0,3,156,0.0181325301204819
hälsomyndigheten,0,2,101,0.0181081081081081
lapidariskt,0,2,101,0.0181081081081081
ärkeskurken,0,2,101,0.0181081081081081
diplomatis,0,2,102,0.0179464285714286
nedsablingen,0,4,215,0.0178222222222222
chalmeristernas,0,3,159,0.017810650887574
reklamlapp,0,3,159,0.017810650887574
ambitions,0,2,103,0.017787610619469
folkminnet,0,2,103,0.017787610619469
indberg,0,2,103,0.017787610619469
anssi,0,3,161,0.0176023391812866
storstrid,0,3,161,0.0176023391812866
butikssnatteri,0,2,105,0.0174782608695652
adventsljusstake,0,2,106,0.0173275862068966
belä,0,2,107,0.0171794871794872
janner,0,2,107,0.0171794871794872
joffre,0,2,107,0.0171794871794872
sajber,0,2,107,0.0171794871794872
örternas,0,2,107,0.0171794871794872
fördelningsproblemet,0,2,108,0.0170338983050847
avskyvärde,0,3,167,0.0170056497175141
qunnar,0,2,109,0.016890756302521
verklighe,0,6,347,0.0168347338935574
ftm,0,2,110,0.01675
samlin,0,3,170,0.0167222222222222
grahnqvist,0,2,111,0.0166115702479339
rabiate,0,2,111,0.0166115702479339
tvavdelningen,0,2,111,0.0166115702479339
brödköer,0,2,112,0.0164754098360656
varad,0,2,113,0.0163414634146341
viltreservatet,0,2,113,0.0163414634146341
sedelvalörer,0,2,114,0.0162096774193548
sexskandalerna,0,2,114,0.0162096774193548
småhusområdet,0,3,177,0.016096256684492
lodare,0,2,115,0.01608
skådespelarporträtt,0,2,115,0.01608
energicentrum,0,2,116,0.015952380952381
södersjuk,0,2,116,0.015952380952381
sjukskötaren,0,3,180,0.0158421052631579
turbulenser,0,2,117,0.0158267716535433
undervisningssyfte,0,3,182,0.0156770833333333
förberedelsearbetena,0,2,121,0.0153435114503817
läsundervisning,0,2,121,0.0153435114503817
gentlemännens,0,2,122,0.0152272727272727
självlänsande,0,2,122,0.0152272727272727
hyssen,0,2,123,0.0151127819548872
jkan,0,2,123,0.0151127819548872
kontrollpunkt,0,2,123,0.0151127819548872
läroboksförfattaren,0,2,123,0.0151127819548872
skoningslösare,0,2,123,0.0151127819548872
yellen,0,2,123,0.0151127819548872
jordkokor,0,2,124,0.015
låttext,0,2,124,0.015
poängskalan,0,2,124,0.015
memoarserie,0,2,126,0.0147794117647059
onykterheten,0,2,126,0.0147794117647059
antänd,0,4,263,0.0146886446886447
kosmopoliter,0,4,263,0.0146886446886447
tillhållen,0,3,195,0.0146829268292683
deaths,0,2,127,0.0146715328467153
flodbåten,0,2,127,0.0146715328467153
folsta,0,2,127,0.0146715328467153
toriet,0,3,197,0.0145410628019324
leby,0,2,129,0.0144604316546763
sorgsnare,0,4,269,0.0143727598566308
känske,0,2,131,0.0142553191489362
utländs,0,2,131,0.0142553191489362
johnsens,0,2,132,0.0141549295774648
dul,0,3,204,0.0140654205607477
lågprisalternativ,0,5,348,0.0139944134078212
negerflickor,0,2,134,0.0139583333333333
svarstiden,0,2,134,0.0139583333333333
tärnblom,0,2,134,0.0139583333333333
prise,0,3,207,0.0138709677419355
frågai,0,2,135,0.0138620689655172
långtidsförvaring,0,2,136,0.0137671232876712
startlinje,0,2,136,0.0137671232876712
borgarråds,0,3,209,0.0137442922374429
virf,0,3,209,0.0137442922374429
turistföreningar,0,2,137,0.0136734693877551
stormästarens,0,2,138,0.0135810810810811
brakförluster,0,2,139,0.013489932885906
usik,0,2,139,0.013489932885906
kommendörstecken,0,2,140,0.0134
förtältet,0,2,141,0.0133112582781457
rådgivarnas,0,4,292,0.0132781456953642
frilansskribenten,0,2,142,0.0132236842105263
xempel,0,2,142,0.0132236842105263
sötsliskig,0,3,218,0.0132017543859649
budgetstriden,0,2,143,0.0131372549019608
carlfilip,0,2,144,0.0130519480519481
kolkällare,0,3,222,0.0129741379310345
lägerfångarna,0,2,146,0.0128846153846154
seriemästerskapet,0,2,146,0.0128846153846154
bostadsfronten,0,4,303,0.0128115015974441
osl,0,2,147,0.0128025477707006
skyddsinspektör,0,2,147,0.0128025477707006
telefonnr,0,2,147,0.0128025477707006
svdtecknaren,0,2,148,0.0127215189873418
tidei,0,2,150,0.0125625
festivalernas,0,2,151,0.0124844720496894
världsväldet,0,2,152,0.0124074074074074
kvadratmillimeter,0,3,236,0.0122357723577236
avspärrningsband,0,2,155,0.0121818181818182
pitebo,0,2,155,0.0121818181818182
världsdelars,0,2,155,0.0121818181818182
auberge,0,2,156,0.0121084337349398
ltid,0,2,156,0.0121084337349398
vinterbild,0,2,156,0.0121084337349398
gangsterliga,0,3,240,0.01204
scottsdale,0,2,157,0.0120359281437126
bevakningsbolaget,0,2,159,0.0118934911242604
åberopandet,0,2,159,0.0118934911242604
gulfkrigets,0,2,160,0.0118235294117647
sandborgs,0,2,161,0.0117543859649123
ambitiösaste,0,3,248,0.0116666666666667
försäljningsrätten,0,2,163,0.0116184971098266
hispan,0,2,163,0.0116184971098266
flugig,0,2,164,0.011551724137931
tillrättalagts,0,3,253,0.0114448669201521
absporten,0,2,166,0.0114204545454545
drömstad,0,2,166,0.0114204545454545
harmynt,0,2,167,0.0113559322033898
majestys,0,2,167,0.0113559322033898
århundrande,0,2,168,0.0112921348314607
människomaterialet,0,2,170,0.0111666666666667
vinkelhake,0,2,170,0.0111666666666667
ansökningshandlingen,0,2,174,0.0109239130434783
obsi,0,3,272,0.0106737588652482
klippavsatsen,0,2,179,0.0106349206349206
toalettbesöket,0,2,179,0.0106349206349206
flicknamnet,0,3,278,0.0104513888888889
ballare,0,2,183,0.0104145077720207
differentialekvationer,0,2,183,0.0104145077720207
sinnesorganen,0,2,184,0.010360824742268
befrämjat,0,4,381,0.0102557544757033
fanflykten,0,2,188,0.0101515151515152
inlevelsefull,0,2,188,0.0101515151515152
människoporträtt,0,2,188,0.0101515151515152
setteskog,0,2,188,0.0101515151515152
bakåtsträvarna,0,2,189,0.0101005025125628
elevskolans,0,2,189,0.0101005025125628
turistfrågor,0,2,189,0.0101005025125628
monu,0,2,191,0.01
sjdan,0,2,191,0.01
kuvats,0,2,194,0.00985294117647059
albina,0,2,195,0.00980487804878049
lanz,0,4,401,0.00975669099756691
undeir,0,2,197,0.00971014492753623
mip,0,2,199,0.00961722488038277
saltets,0,2,199,0.00961722488038277
barlock,0,2,200,0.00957142857142857
bemö,0,1,96,0.00952830188679245
ann_kristine,0,1,97,0.0094392523364486
bekännelsefrontens,0,1,97,0.0094392523364486
slitgöra,0,2,204,0.00939252336448598
nöjesåkning,0,3,311,0.00937694704049844
halvljumma,0,2,205,0.00934883720930232
uppläggandet,0,2,205,0.00934883720930232
akademikeryrken,0,1,99,0.00926605504587156
ambulance,0,1,99,0.00926605504587156
järnindustri,0,2,207,0.00926267281105991
enslingar,0,2,208,0.00922018348623853
alnöns,0,1,100,0.00918181818181818
säsongavslutningen,0,2,209,0.00917808219178082
tegeltraven,0,2,210,0.00913636363636363
salttabletter,0,2,211,0.00909502262443439
abfkurser,0,1,102,0.00901785714285714
medelinkomster,0,2,213,0.00901345291479821
nob,0,2,213,0.00901345291479821
byggnadsplatser,0,4,442,0.0088716814159292
badrestaurangen,0,3,330,0.00885294117647059
mekan,0,2,219,0.00877729257641921
temavecka,0,2,222,0.00866379310344828
utspillt,0,2,222,0.00866379310344828
avtvingades,0,1,107,0.00863247863247863
dammfria,0,3,343,0.00852691218130312
sensationellare,0,2,226,0.00851694915254237
allmänningarna,0,1,109,0.00848739495798319
samlarvurm,0,2,227,0.00848101265822785
ärkereaktionära,0,2,229,0.00841004184100418
intn,0,2,230,0.008375
bommades,0,2,231,0.0083402489626556
storbildstv,0,5,591,0.00833610648918469
tankeverksamheten,0,5,596,0.00826732673267327
tvformat,0,2,236,0.00817073170731707
vedbacken,0,2,236,0.00817073170731707
hemnia,0,5,613,0.00804173354735153
ahrberg,0,2,242,0.00797619047619048
andrse,0,1,120,0.00776923076923077
manövrerandet,0,2,250,0.00773076923076923
aggressionsutbrott,0,1,121,0.00770992366412214
adichie,0,1,122,0.00765151515151515
bestryker,0,1,122,0.00765151515151515
apdow,0,2,253,0.0076425855513308
vittskövle,0,3,384,0.00763959390862944
stålverkets,0,2,256,0.00755639097744361
orin,0,2,260,0.00744444444444444
klarögt,0,2,265,0.00730909090909091
konstvetaren,0,2,268,0.00723021582733813
barne,0,3,409,0.00718377088305489
slutkursen,0,2,277,0.00700348432055749
novellfilmen,0,2,288,0.00674496644295302
fortets,0,2,290,0.0067
bap,0,1,141,0.00668874172185431
tidplaner,0,2,291,0.00667774086378738
korgosse,0,2,293,0.00663366336633663
arbetarn,0,1,144,0.00655844155844156
hobbyarbeten,0,2,297,0.00654723127035831
bleknande,0,3,453,0.00650107991360691
sommarstugeinbrott,0,2,301,0.00646302250803859
kismet,0,2,304,0.00640127388535032
industritomt,0,2,306,0.00636075949367089
arbetarskildring,0,1,149,0.00635220125786164
vänsterfronten,0,2,308,0.00632075471698113
husmodem,0,5,784,0.00630982367758186
ansta,0,1,153,0.00619631901840491
besprutad,0,2,316,0.00616564417177914
stadsgata,0,2,316,0.00616564417177914
kapitolium,0,2,323,0.00603603603603604
anlal,0,1,158,0.00601190476190476
assams,0,1,161,0.00590643274853801
risa,0,3,503,0.00586744639376218
solitär,0,4,678,0.00582848837209302
partidagen,0,2,340,0.00574285714285714
basvarorna,0,1,166,0.00573863636363636
våldspolitik,0,2,342,0.00571022727272727
janola,0,2,343,0.00569405099150142
kroppsarbetande,0,2,343,0.00569405099150142
jgg,0,2,345,0.00566197183098592
veks,0,2,354,0.00552197802197802
storey,0,2,358,0.00546195652173913
tvsänds,0,2,361,0.0054177897574124
elfsborgaren,0,2,362,0.00540322580645161
iel,0,2,363,0.0053887399463807
direktbussar,0,3,550,0.005375
ljudfilmens,0,2,366,0.00534574468085106
barnatron,0,1,179,0.00534391534391534
treårsavtalet,0,2,367,0.0053315649867374
lip,0,5,935,0.0053015873015873
bågenholm,0,4,750,0.00527631578947368
baptistpastorn,0,2,374,0.005234375
ångt,0,2,382,0.00512755102040816
bergås,0,1,187,0.00512690355329949
appellerna,0,3,583,0.00507588532883642
metrar,0,2,386,0.00507575757575758
publikevenemang,0,2,388,0.00505025125628141
angreppskriget,0,1,190,0.00505
shelby,0,2,389,0.00503759398496241
regndropparna,0,3,618,0.00479299363057325
begejstrade,0,1,201,0.00478672985781991
nöjeslystnad,0,2,415,0.00472941176470588
förbränd,0,2,418,0.00469626168224299
hästskor,0,3,633,0.00468118195956454
amundson,0,1,210,0.00459090909090909
aroma,0,1,210,0.00459090909090909
premiärdatum,0,3,649,0.00456752655538695
ador,0,1,212,0.00454954954954955
snöblask,0,2,436,0.0045067264573991
driftdirektör,0,2,438,0.00448660714285714
gärdebylåten,0,2,444,0.0044273127753304
julstjärna,0,2,444,0.0044273127753304
spöade,0,5,1145,0.00433766233766234
släpigt,0,3,685,0.00433093525179856
världsbrand,0,2,455,0.00432258064516129
exportländer,0,2,458,0.00429487179487179
spelförbud,0,4,930,0.00426595744680851
sandells,0,3,707,0.00419804741980474
blankare,0,2,471,0.00417879417879418
attraction,0,1,232,0.00417355371900826
inträngt,0,2,481,0.00409368635437882
besöksdag,0,1,237,0.00408906882591093
disarmament,0,2,482,0.00408536585365854
discjockeyn,0,2,485,0.00406060606060606
snurror,0,2,488,0.00403614457831325
hällregn,0,4,989,0.00401401401401401
förbundskassören,0,2,492,0.00400398406374502
kirsch,0,2,494,0.00398809523809524
erick,0,2,504,0.00391050583657588
försonat,0,2,505,0.00390291262135922
besatts,0,4,1028,0.00386319845857418
seeking,0,2,519,0.00379962192816635
bamsingar,0,1,256,0.00379699248120301
huvudtalarna,0,2,530,0.00372222222222222
avtalsår,0,1,267,0.00364620938628159
bendtz,0,1,268,0.00363309352517986
likblek,0,3,819,0.00363088057901086
platsantalet,0,4,1097,0.00362240289069557
skottdagen,0,2,574,0.00344178082191781
anymore,0,1,284,0.00343537414965986
bensinkostnaderna,0,1,288,0.00338926174496644
osmond,0,3,882,0.00337443946188341
traktorns,0,2,588,0.00336120401337793
abyfältet,0,1,293,0.00333333333333333
aktgivande,0,1,296,0.00330065359477124
armadan,0,3,927,0.00321237993596585
specialskolor,0,2,618,0.00320063694267516
anläggningskostnad,0,1,309,0.00316614420062696
larvet,0,2,625,0.00316535433070866
ungkarlslyan,0,2,633,0.00312597200622084
johannas,0,3,958,0.00310950413223141
beho,0,1,318,0.00307926829268293
alunskiffer,0,1,321,0.00305135951661631
amritraj,0,1,323,0.00303303303303303
särmärke,0,3,994,0.00299800796812749
oinspirerat,0,3,1000,0.00298019801980198
bröllopsbesvär,0,2,678,0.00292151162790698
beställningskupong,0,1,339,0.00289398280802292
raggarbilar,0,2,686,0.00288793103448276
krokek,0,2,702,0.00282303370786517
mantlar,0,3,1069,0.00278962001853568
landegren,0,2,717,0.00276478679504814
stalker,0,2,717,0.00276478679504814
bola,0,3,1096,0.00272151898734177
sorgband,0,2,731,0.00271255060728745
revynummer,0,2,764,0.0025968992248062
atomexplosioner,0,1,383,0.00256997455470738
manning,0,4,1571,0.00253636938646426
cinderella,0,3,1187,0.00251461988304094
speldosa,0,2,790,0.0025125
stockholmares,0,2,795,0.00249689440993789
extraturer,0,3,1216,0.00245513866231648
ackurat,0,1,403,0.0024455205811138
anloppet,0,1,414,0.00238207547169811
avlivningen,0,1,427,0.00231121281464531
ansvaras,0,1,429,0.00230068337129841
atlantångaren,0,1,432,0.00228506787330317
superstjärnorna,0,2,889,0.00223581757508343
försonligt,0,2,891,0.00223085460599334
skådespelarprestationer,0,2,897,0.00221609702315325
besökstider,0,1,451,0.00219088937093276
konstfacks,0,2,911,0.00218241042345277
balgård,0,1,462,0.00213983050847458
avvinna,0,1,472,0.0020954356846473
bergknallen,0,1,482,0.00205284552845528
petroleumprodukter,0,2,974,0.00204268292682927
vadmal,0,2,983,0.00202416918429003
befälhavande,0,1,493,0.00200795228628231
avfattning,0,1,499,0.00198428290766208
myers,0,3,1550,0.00192948717948718
klädedräkten,0,2,1034,0.00192528735632184
bestarna,0,1,518,0.00191287878787879
atlasbergen,0,1,541,0.00183303085299456
anleten,0,2,1091,0.00182561307901907
axeansluten,0,1,545,0.00181981981981982
hädiska,0,2,1181,0.00168765743073048
överledaren,0,3,1783,0.00167875069715561
coca,0,2,1238,0.00161057692307692
förbittrat,0,2,1330,0.0015
aixenprovence,0,1,664,0.00149851632047478
tobaksindustrin,0,2,1376,0.00145021645021645
långtradarna,0,3,2086,0.00143606870229008
animera,0,1,723,0.00137789904502046
pannkakorna,0,2,1477,0.00135171486213853
vattenbad,0,3,2217,0.0013515940727436
shot,0,2,1849,0.00108122646584185
statyett,0,2,1864,0.00107257203842049
avokado,0,1,982,0.00101814516129032
atomubåtar,0,1,1050,0.000952830188679245
aulen,0,2,2158,0.000927121771217712
jordar,0,2,2338,0.000856047700170358
hackor,0,3,3557,0.000843846369498178
stålrör,0,2,2569,0.000779371849554091
lockouten,0,2,2614,0.000766006097560976
teleteknisk,0,2,2924,0.000685071574642127
tupp,0,3,4709,0.000637847001483365
bestar,0,1,2111,0.000476190476190476
adliga,0,1,3222,0.0003125
