token,z,z_N,N,r
bagatelliserats,0,1,107,0.00863247863247863
finalistema,0,2,223,0.00862660944206009
företagsadministration,0,2,223,0.00862660944206009
automobilkåren,0,1,108,0.00855932203389831
andrestyrmannen,0,1,109,0.00848739495798319
oit,0,2,229,0.00841004184100418
utposterats,0,2,230,0.008375
polaritet,0,2,234,0.00823770491803279
hatstämning,0,3,356,0.00822404371584699
uttryckssätten,0,3,356,0.00822404371584699
akustikplattor,0,1,113,0.00821138211382114
sierskan,0,4,479,0.00820040899795501
exaltation,0,3,362,0.00809139784946237
dersökningar,0,4,488,0.00805220883534137
pojkårens,0,3,364,0.00804812834224599
fotbollsspelares,0,3,365,0.00802666666666667
aritmetiskt,0,1,116,0.00801587301587302
smurfar,0,2,242,0.00797619047619048
awacsplan,0,1,119,0.00782945736434109
bankkontonummer,0,1,119,0.00782945736434109
barvinter,0,1,120,0.00776923076923077
omregistrera,0,2,250,0.00773076923076923
kulturnivå,0,2,253,0.0076425855513308
badhusparken,0,2,254,0.00761363636363636
vasaborgen,0,2,255,0.00758490566037736
skivomslagen,0,2,256,0.00755639097744361
deformerats,0,2,257,0.00752808988764045
trottoarserveringar,0,2,260,0.00744444444444444
margots,0,2,261,0.0074169741697417
skymtades,0,2,266,0.00728260869565217
idealläge,0,2,270,0.00717857142857143
asymmetrisk,0,3,413,0.00711583924349882
bakmaskin,0,1,132,0.00711267605633803
asketismen,0,1,133,0.00706293706293706
toviga,0,4,559,0.00704745166959578
anmärks,0,2,276,0.00702797202797203
trubbar,0,2,276,0.00702797202797203
aljud,0,1,134,0.00701388888888889
bantade,0,12,1705,0.00700291545189504
amerikansksvenska,0,1,135,0.00696551724137931
showroom,0,3,423,0.00695150115473441
adressetiketter,0,1,136,0.00691780821917808
arcona,0,2,281,0.00690721649484536
atomvapenprov,0,2,282,0.00688356164383562
alpsjö,0,1,138,0.00682432432432432
dubbelhakor,0,2,285,0.0068135593220339
assaftengroth,0,1,139,0.00677852348993289
rehabiliterar,0,2,287,0.00676767676767677
oförfärad,0,3,435,0.00676404494382023
lotterivinster,0,3,437,0.0067337807606264
innehållen,0,2,294,0.00661184210526316
färdigutvecklad,0,3,451,0.006529284164859
krigsförberedelserna,0,2,300,0.00648387096774193
bruksvara,0,3,460,0.00640425531914894
lärarjobbet,0,3,465,0.00633684210526316
planertz,0,2,310,0.00628125
arse,0,1,153,0.00619631901840491
wentworth,0,2,317,0.00614678899082569
motionsform,0,2,321,0.00607250755287009
kannibalen,0,3,486,0.00606854838709677
aluminiserat,0,1,157,0.00604790419161677
rostand,0,2,325,0.006
absurdismens,0,1,159,0.00597633136094675
rried,0,2,328,0.00594674556213018
låghalt,0,2,329,0.00592920353982301
piaff,0,2,330,0.00591176470588235
azovska,0,1,163,0.00583815028901734
badin,0,1,163,0.00583815028901734
bärgningsförsök,0,2,338,0.00577586206896552
unwin,0,2,339,0.00575931232091691
ärlden,0,2,339,0.00575931232091691
knuffande,0,2,345,0.00566197183098592
äldrecentrum,0,2,347,0.00563025210084034
vågsvall,0,2,350,0.00558333333333333
lågspänning,0,2,352,0.0055524861878453
avhandlingsarbetet,0,1,172,0.00554945054945055
slåtter,0,2,353,0.00553719008264463
mendelsohn,0,2,354,0.00552197802197802
slutkampen,0,3,537,0.00550274223034735
pag,0,2,356,0.00549180327868852
annant,0,1,174,0.00548913043478261
aat,0,1,178,0.00537234042553192
befästningen,0,1,180,0.00531578947368421
vältrimmat,0,2,373,0.00524804177545692
korsstygn,0,3,567,0.00521663778162912
d_v_sså,0,2,376,0.00520725388601036
nnnm,0,2,376,0.00520725388601036
furuviks,0,3,581,0.00509306260575296
krigshetsande,0,2,387,0.00506297229219144
arsson,0,3,589,0.00502504173622705
tiggarens,0,2,390,0.005025
bellmanssånger,0,1,191,0.00502487562189055
affärsfönster,0,1,192,0.005
färglära,0,2,393,0.00498759305210918
tecknaranders,0,4,803,0.00493234932349323
agitatoriskt,0,2,398,0.00492647058823529
strålglansen,0,2,399,0.00491442542787286
anslutningsmöjligheter,0,1,199,0.00483253588516747
represente,0,2,407,0.00482014388489209
riktprislista,0,2,408,0.00480861244019139
tyoks,0,2,413,0.00475177304964539
ärkefiender,0,2,416,0.00471830985915493
agnad,0,1,205,0.00469767441860465
påken,0,2,419,0.00468531468531469
shown,0,2,421,0.00466357308584687
mariel,0,2,425,0.00462068965517241
blinkningar,0,5,1082,0.00458791208791209
tillskansar,0,2,431,0.0045578231292517
ahola,0,1,214,0.00450892857142857
armekällor,0,1,215,0.00448888888888889
ängslades,0,2,438,0.00448660714285714
dödsläger,0,4,884,0.00448545861297539
besättande,0,2,439,0.00447661469933185
kutymen,0,2,439,0.00447661469933185
anthonys,0,1,218,0.00442982456140351
trafikoch,0,2,448,0.00438864628820961
pariserhjulet,0,3,676,0.00438775510204082
translation,0,2,460,0.00427659574468085
sandens,0,2,484,0.00406882591093117
uttryckes,0,2,486,0.00405241935483871
karikatyrtecknare,0,2,497,0.00396449704142012
torsdagskvällar,0,2,497,0.00396449704142012
avböjas,0,1,246,0.0039453125
begärlighet,0,1,247,0.00392996108949416
anfallsvågor,0,1,248,0.00391472868217054
avlockas,0,1,251,0.00386973180076628
naturvårdande,0,2,516,0.0038212927756654
dagl,0,2,523,0.00377110694183865
blötsnön,0,2,527,0.00374301675977654
botaniserat,0,2,531,0.00371534195933457
hålögda,0,2,531,0.00371534195933457
badsjöar,0,1,264,0.00368613138686131
lösgodis,0,2,536,0.00368131868131868
trösterika,0,3,808,0.00367970660146699
gladeligt,0,2,542,0.00364130434782609
arnetz,0,1,268,0.00363309352517986
träningsplan,0,3,822,0.00361778846153846
förar,0,2,550,0.00358928571428571
nts,0,3,831,0.00357907253269917
ads,0,1,273,0.00356890459363958
väninnans,0,3,849,0.00350407450523865
zumas,0,2,566,0.00348958333333333
familjeägda,0,2,568,0.00347750865051903
taxerades,0,2,587,0.00336683417085427
saxarna,0,2,608,0.00325242718446602
units,0,2,608,0.00325242718446602
wyler,0,2,622,0.00318037974683544
grässlänt,0,2,623,0.00317535545023697
parkteater,0,3,953,0.00312564901349948
bönemöte,0,2,634,0.00312111801242236
frihetsrörelserna,0,2,635,0.00311627906976744
rävspelet,0,2,636,0.00311145510835913
ransonerar,0,2,638,0.00310185185185185
exponerad,0,3,962,0.00309670781893004
rave,0,2,644,0.00307339449541284
avresande,0,1,320,0.00306060606060606
grillspett,0,3,1005,0.00296551724137931
rule,0,3,1020,0.00292233009708738
classics,0,2,678,0.00292151162790698
läggen,0,2,688,0.00287965616045845
säkerhetsnålar,0,2,745,0.00266225165562914
oförstörd,0,3,1126,0.00264964788732394
snitsade,0,2,756,0.00262402088772846
baklykta,0,1,381,0.00258312020460358
barnjungfru,0,1,383,0.00256997455470738
bohemen,0,3,1182,0.0025251677852349
micro,0,3,1204,0.00247940691927512
nugot,0,2,801,0.00247842170160296
vudet,0,2,802,0.00247536945812808
jordbundna,0,3,1221,0.00244516653127539
pinuppa,0,2,824,0.00241007194244604
abortförebyggande,0,1,411,0.00239904988123516
arnheim,0,1,422,0.00233796296296296
antikverade,0,2,851,0.00233449477351916
bingham,0,2,852,0.00233178654292343
sängläge,0,3,1310,0.00228030303030303
begivenheten,0,1,450,0.00219565217391304
axelsons,0,1,460,0.00214893617021277
sherwood,0,2,931,0.00213602550478215
österlandet,0,2,932,0.00213375796178344
thordeman,0,2,976,0.00203853955375254
arvikas,0,1,527,0.00188081936685289
backkämpen,0,1,533,0.00186003683241252
amazoner,0,1,545,0.00181981981981982
fotspåren,0,2,1096,0.00181735985533454
paulin,0,2,1120,0.0017787610619469
bengtåke,0,1,569,0.00174438687392055
sprutande,0,2,1153,0.00172828890799656
stämningsfulla,0,3,1749,0.00171119954519613
kustlandet,0,3,1787,0.00167501391207568
dödströtta,0,2,1194,0.00166943521594684
coca,0,2,1238,0.00161057692307692
stekar,0,2,1248,0.00159777424483307
sandsäckar,0,3,2130,0.00140654205607477
ultrarapid,0,2,1472,0.00135627530364372
köksdörren,0,2,1507,0.00132498352010547
behm,0,1,810,0.00123170731707317
ishockeylaget,0,2,1689,0.00118304885226604
befryndad,0,1,845,0.0011812865497076
alskar,0,1,905,0.00110382513661202
glimmade,0,2,1966,0.00101720647773279
arran,0,1,1046,0.000956439393939394
beder,0,1,1052,0.000951035781544256
aabel,0,1,1259,0.000795902285263987
avtalsrörelser,0,1,1610,0.000623456790123457
svängande,0,2,3641,0.000550534100246508
