year,token,z,z_N,N,r
2000,flyktingar,0,1661,1661,0.994021543985637
2006,invandrare,0,1659,1659,0.994014379868185
1946,flyktingar,0,1635,1635,0.993927051671733
1981,invandrare,0,1630,1630,0.993908536585366
2004,invandrare,0,1584,1584,0.993732747804266
1956,flyktingar,0,1566,1566,0.99366116751269
1992,invandrarverket,0,1545,1545,0.993575562700965
1989,invandrare,0,1525,1525,0.993491856677524
2005,invandrare,0,1674,1675,0.993477744807122
2015,asyl,0,1657,1658,0.993411270983214
1997,flyktingar,0,1496,1496,0.993366533864542
1980,flyktingar,0,1495,1495,0.993362126245847
1991,invandrare,0,1491,1491,0.993344437041972
2017,migrationsverket,0,1481,1481,0.993299798792757
1977,invandrare,0,1473,1473,0.993263654753877
2015,uppehållstillstånd,0,1468,1468,0.993240866035183
1969,zigenarna,0,1459,1459,0.993199455411845
2010,invandrare,0,1454,1454,0.993176229508197
2003,invandrare,0,1575,1576,0.993070617906683
1975,flyktingar,0,1568,1569,0.993039898670044
1986,invandrare,0,1424,1424,0.993033472803347
1998,flyktingar,0,1423,1423,0.993028611304955
1990,flyktingarna,0,1422,1422,0.99302374301676
1976,flyktingar,0,1410,1410,0.992964788732394
1984,invandrare,0,1397,1397,0.992899786780384
1949,flyktingar,0,1364,1364,0.992729257641921
1957,flyktingar,0,1360,1360,0.99270802919708
1978,invandrare,0,1351,1351,0.992659808963997
1993,invandrarverket,0,1348,1348,0.992643593519882
1969,zigenare,0,1345,1345,0.992627306273063
1985,invandrare,0,1324,1324,0.992511244377811
2016,asyl,0,1323,1323,0.992505626406602
2002,migrationsverket,0,1323,1323,0.992505626406602
2018,migrationsverket,0,1312,1312,0.992443267776097
2014,rasism,0,1293,1293,0.992333077513431
1950,flyktingar,0,1291,1291,0.992321291314374
1989,invandrarverket,0,1285,1285,0.992285714285714
1976,invandrare,0,1284,1284,0.992279752704791
1999,flyktingarna,0,1280,1280,0.992255813953488
1971,flyktingar,0,1268,1268,0.992183098591549
1994,invandrarverket,0,1264,1264,0.992158555729984
2017,asylsökande,0,1255,1255,0.992102766798419
2013,flyktingar,0,1217,1217,0.991858190709046
2013,romer,0,1330,1331,0.991804623415362
1982,flyktingar,0,1188,1188,0.991661101836394
2008,invandrare,0,1185,1185,0.991640167364017
2018,asylsökande,0,1182,1182,0.991619127516778
2016,uppehållstillstånd,0,1299,1300,0.991610687022901
1981,flyktingar,0,1176,1176,0.991576728499157
2008,flyktingar,0,1167,1167,0.991512319456245
1983,invandrare,0,1163,1163,0.991483375959079
1988,invandrare,0,1163,1163,0.991483375959079
1987,invandrare,0,1394,1396,0.99147226173542
1992,asylsökande,0,1154,1154,0.991417525773196
1947,flyktingar,0,1154,1154,0.991417525773196
1961,flyktingar,0,1143,1143,0.991335646140503
1994,flyktingarna,0,1141,1141,0.991320590790617
2002,asylsökande,0,1139,1139,0.991305483028721
2007,invandrare,0,1134,1134,0.991267482517483
1990,invandrarverket,0,1120,1120,0.991159292035398
1992,flyktingarna,0,1114,1114,0.991112099644128
1985,invandrarverket,0,1114,1114,0.991112099644128
2017,uppehållstillstånd,0,1114,1114,0.991112099644128
1989,flyktingarna,0,1110,1110,0.991080357142857
1983,flyktingar,0,1108,1108,0.991064400715563
2007,flyktingar,0,1101,1101,0.991008100810081
1977,flyktingar,0,1098,1098,0.990983754512635
2016,invandrare,0,1094,1094,0.990951086956522
2018,invandring,0,1093,1093,0.990942883046238
1985,flyktingarna,0,1092,1092,0.990934664246824
2017,invandrare,0,1091,1091,0.990926430517711
2003,flyktingar,0,1087,1087,0.990893345487694
1978,flyktingar,0,1085,1085,0.990876712328767
2018,uppehållstillstånd,0,1083,1083,0.990860018298262
2015,invandrare,0,1060,1060,0.990663551401869
1995,flyktingarna,0,1050,1050,0.990575471698113
2016,ensamkommande,0,1047,1047,0.990548722800378
1971,invandrare,0,1039,1039,0.99047664442326
2015,rasism,0,1039,1039,0.99047664442326
2018,invandrare,0,1023,1023,0.990329138431752
1973,invandrare,0,1012,1012,0.990225048923679
1987,invandrarverket,0,1011,1011,0.990215475024486
1948,flyktingar,0,1112,1113,0.990213713268032
2012,invandrare,0,1010,1010,0.990205882352941
1960,flyktingar,0,1007,1007,0.990176991150442
2015,migranter,0,1007,1007,0.990176991150442
2009,invandrare,0,994,994,0.990049800796813
1993,flyktingarna,0,988,988,0.98998997995992
1990,asylsökande,0,985,985,0.989959798994975
1974,invandrare,0,983,983,0.989939577039275
1975,invandrare,0,981,981,0.98991927346115
1991,invandrarverket,0,979,979,0.98989888776542
2000,rasism,0,976,976,0.989868154158215
2005,flyktingar,0,975,975,0.989857868020304
1974,flyktingar,0,974,974,0.98984756097561
2017,invandring,0,965,965,0.989753846153846
1991,flyktingarna,0,963,963,0.989732785200411
1979,flyktingarna,0,1055,1056,0.9896904315197
2013,asyl,0,956,956,0.989658385093168
1953,flyktingar,0,951,951,0.989604578563996
2016,invandring,0,949,949,0.989582898852972
1967,flyktingar,0,927,927,0.989338313767343
1951,flyktingar,0,921,921,0.989269602577873
2004,flyktingar,0,916,916,0.989211663066955
1988,flyktingarna,0,915,915,0.9892
1973,flyktingar,0,912,912,0.989164859002169
1986,invandrarverket,0,905,905,0.989081967213115
2015,invandring,0,896,896,0.988973509933775
1992,rasism,0,982,983,0.988932527693857
1988,invandrarverket,0,891,891,0.988912319644839
2016,rasism,0,891,891,0.988912319644839
1989,asylsökande,0,881,881,0.988787878787879
1996,flyktingarna,0,881,881,0.988787878787879
2016,flyktingarna,0,881,881,0.988787878787879
2013,invandrare,0,1052,1054,0.988731203007519
1968,flyktingar,0,876,876,0.98872460496614
2011,invandrare,0,870,870,0.988647727272727
1996,uppehållstillstånd,0,1041,1043,0.988613485280152
1972,invandrare,0,950,951,0.988563995837669
2014,invandrare,0,947,948,0.988528183716075
2006,flyktingar,0,858,858,0.988490783410138
2005,migrationsverket,0,851,851,0.988397212543554
1970,invandrare,0,845,845,0.988315789473684
2013,migrationsverket,0,845,845,0.988315789473684
1993,asylsökande,0,843,843,0.988288393903869
2001,migrationsverket,0,843,843,0.988288393903869
2011,flyktingar,0,841,841,0.988260869565217
1984,asyl,0,835,835,0.988177514792899
2018,migranter,0,831,831,0.988121284185494
2014,romer,0,912,913,0.988093174431203
1979,invandrarna,0,828,828,0.988078758949881
1946,flyktingarna,0,825,825,0.988035928143713
1996,invandrarverket,0,824,824,0.988021582733813
1990,asyl,0,821,821,0.987978339350181
1972,flyktingar,0,820,820,0.987963855421687
2006,migrationsverket,0,816,816,0.987905569007264
2004,asylsökande,0,810,810,0.987817073170732
2013,rasism,0,891,892,0.987815964523282
2012,flyktingar,0,809,809,0.987802197802198
2001,rasism,0,808,808,0.98778728606357
2009,flyktingar,0,806,806,0.987757352941177
2002,nadina,0,806,806,0.987757352941177
2018,asyl,0,803,803,0.987712177121771
2003,asylsökande,0,799,799,0.987651421508035
1984,invandrarverket,0,797,797,0.987620817843866
1994,uppehållstillstånd,0,797,797,0.987620817843866
1994,asylsökande,0,794,794,0.987574626865672
2018,ensamkommande,0,873,874,0.987567873303167
2017,rasism,0,787,787,0.987465495608532
1962,flyktingar,0,786,786,0.987449748743719
1981,invandrarverket,0,784,784,0.987418136020151
1985,asyl,0,858,859,0.987353279631761
2017,asyl,0,854,855,0.987294797687861
1959,flyktingar,0,776,776,0.987290076335878
1956,flyktingarna,0,776,776,0.987290076335878
2014,migrationsverket,0,774,774,0.987257653061224
2004,migrationsverket,0,773,773,0.987241379310345
1969,flyktingar,0,850,851,0.987235772357723
2014,invandring,0,771,771,0.987208706786171
2017,ensamkommande,0,1154,1159,0.987177074422583
1989,asyl,0,764,764,0.987093023255814
1992,asyl,0,763,763,0.987076326002587
1957,flyktingarna,0,763,763,0.987076326002587
1971,flyktingarna,0,839,840,0.987070588235294
2003,migrationsverket,0,761,761,0.98704280155642
2018,rasism,0,837,838,0.987040094339623
1970,flyktingar,0,760,760,0.987025974025974
1975,flyktingarna,0,759,759,0.987009102730819
2015,ensamkommande,0,829,830,0.986916666666667
1995,rasism,0,829,830,0.986916666666667
1996,rasism,0,747,747,0.986803170409511
1949,flyktingarna,0,745,745,0.98676821192053
1980,invandrarna,0,741,741,0.986697736351531
2002,uppehållstillstånd,0,815,816,0.986694915254237
1995,uppehållstillstånd,0,723,723,0.986371077762619
1993,asyl,0,722,722,0.986352459016393
1982,invandrarverket,0,719,719,0.986296296296296
1987,flyktingarna,0,714,714,0.986201657458563
1994,asyl,0,713,713,0.986182572614108
1996,utlänningsnämnden,0,713,713,0.986182572614108
1991,asyl,0,711,711,0.986144244105409
1986,asyl,0,703,703,0.985988779803647
1947,flyktingarna,0,702,702,0.985969101123595
2002,asyl,0,772,773,0.985964240102171
1958,flyktingar,0,698,698,0.985889830508474
1993,uppehållstillstånd,0,767,768,0.985874035989717
2002,utlänningsnämnden,0,694,694,0.985809659090909
2012,migrationsverket,0,693,693,0.985789473684211
2010,romer,0,831,833,0.985776986951364
2001,flyktingarna,0,688,688,0.985687679083095
1980,flyktingarna,0,685,685,0.985625899280576
2005,asylsökande,0,745,746,0.985462962962963
2001,asylsökande,0,675,675,0.985416058394161
2008,migrationsverket,0,674,674,0.985394736842105
1968,zigenare,0,671,671,0.985330396475771
1991,asylsökande,0,733,734,0.985228494623656
1999,rasism,0,733,734,0.985228494623656
2000,asyl,0,666,666,0.985221893491124
2000,uppehållstillstånd,0,664,664,0.985178041543027
1969,asyl,0,657,657,0.985022488755622
1964,flyktingar,0,655,655,0.984977443609023
2002,rasism,0,654,654,0.984954819277108
1997,uppehållstillstånd,0,650,650,0.984863636363636
1984,flyktingarna,0,647,647,0.984794520547945
1997,rasism,0,776,778,0.984784263959391
2007,migrationsverket,0,645,645,0.984748091603053
1985,asylsökande,0,643,643,0.984701378254211
1977,invandrarna,0,643,643,0.984701378254211
1992,invandrarna,0,643,643,0.984701378254211
2014,asyl,0,642,642,0.984677914110429
2018,migrationspolitiken,0,642,642,0.984677914110429
1952,flyktingar,0,635,635,0.984511627906977
2001,asyl,0,631,631,0.984414976599064
2010,flyktingar,0,631,631,0.984414976599064
1986,flyktingarna,0,624,624,0.984242902208202
2009,migrationsverket,0,624,624,0.984242902208202
2018,migrationspolitik,0,621,621,0.984167987321712
1945,utlänningskommissionen,0,620,620,0.984142857142857
1961,flyktingarna,0,617,617,0.984066985645933
1992,invandrarverkets,0,616,616,0.984041533546326
2015,migrationsverkets,0,616,616,0.984041533546326
1993,rasism,0,738,740,0.984013333333333
1991,rasism,0,674,675,0.983956204379562
2016,migranter,0,673,674,0.983932748538012
1988,asyl,0,610,610,0.983887096774193
1998,rasism,0,609,609,0.983861066235864
1982,invandrarna,0,605,605,0.983756097560976
2005,uppehållstillstånd,0,664,665,0.983718518518519
2001,uppehållstillstånd,0,601,601,0.983649754500818
2008,asylsökande,0,598,598,0.983569078947368
1954,flyktingar,0,597,597,0.983542009884679
1955,flyktingar,0,597,597,0.983542009884679
1948,flyktingarna,0,595,595,0.983487603305785
2013,invandring,0,595,595,0.983487603305785
1987,asyl,0,649,650,0.983348484848485
1996,asyl,0,588,588,0.983294314381271
2014,asylsökande,0,582,582,0.983125
1950,flyktingarna,0,579,579,0.983039049235993
1980,invandrarverket,0,579,579,0.983039049235993
1994,rasism,0,579,579,0.983039049235993
1976,invandrarna,0,577,577,0.98298126064736
2003,uppehållstillstånd,0,577,577,0.98298126064736
2014,invandringen,0,569,569,0.982746113989637
2015,romer,0,793,797,0.982664188351921
2007,uppehållstillstånd,0,566,566,0.98265625
2004,asyl,0,565,565,0.982626086956522
1977,invandrarverket,0,565,565,0.982626086956522
1976,flyktingarna,0,564,564,0.982595818815331
1995,asyl,0,560,560,0.982473684210526
1966,arbetstillstånd,0,559,559,0.982442882249561
1963,flyktingar,0,558,558,0.982411971830986
1970,invandrarna,0,558,558,0.982411971830986
1978,invandrarna,0,558,558,0.982411971830986
1970,asyl,0,556,556,0.982349823321555
2017,migranter,0,556,556,0.982349823321555
2002,invandring,0,553,553,0.982255772646536
2012,rasism,0,550,550,0.982160714285714
2004,uppehållstillstånd,0,548,548,0.982096774193548
1981,asyl,0,547,547,0.982064631956912
2009,asylsökande,0,547,547,0.982064631956912
2013,asylsökande,0,544,544,0.981967509025271
1995,invandrarverket,0,539,539,0.981803278688525
1971,invandrarna,0,538,538,0.981770072992701
1989,agata,0,748,752,0.981640419947506
2018,invandringen,0,534,534,0.981636029411765
2016,invandringen,0,586,587,0.981591289782244
1966,flyktingar,0,532,532,0.981568265682657
1974,invandrarna,0,530,530,0.9815
2003,nadina,0,582,583,0.981467116357504
1989,rasism,0,529,529,0.981465677179963
2006,uppehållstillstånd,0,527,527,0.981396648044693
1970,zigenare,0,525,525,0.981327102803738
1979,invandrarverket,0,522,522,0.981221804511278
1968,asyl,0,520,520,0.981150943396226
1981,invandrarna,0,520,520,0.981150943396226
2005,rasism,0,520,520,0.981150943396226
1992,uppehållstillstånd,0,571,572,0.981116838487972
1976,invandrarverket,0,518,518,0.981079545454545
2002,arbetskraftsinvandring,0,517,517,0.981043643263757
1998,uppehållstillstånd,0,517,517,0.981043643263757
1995,utlänningsnämnden,0,517,517,0.981043643263757
1982,flyktingarna,0,513,513,0.980898661567878
1997,asyl,0,512,512,0.980862068965517
1983,invandrarverket,0,512,512,0.980862068965517
2011,migrationsverket,0,511,511,0.980825335892514
2008,uppehållstillstånd,0,509,509,0.980751445086705
1965,flyktingar,0,507,507,0.980676982591876
1997,flyktingarna,0,507,507,0.980676982591876
1993,invandrarverkets,0,507,507,0.980676982591876
2016,migrationsverkets,0,506,506,0.980639534883721
1990,rasism,0,554,555,0.980548672566372
1976,assyrier,0,502,502,0.98048828125
1967,flyktingarna,0,501,501,0.980450097847358
2013,papperslösa,0,501,501,0.980450097847358
2003,asyl,0,551,552,0.980444839857651
1999,invandrarverket,0,499,499,0.980373280943026
1985,rasism,0,499,499,0.980373280943026
1996,asylsökande,0,497,497,0.980295857988166
2007,asylsökande,0,497,497,0.980295857988166
2010,migrationsverket,0,495,495,0.980217821782178
1992,flyktingpolitiken,0,494,494,0.980178571428571
2017,migrationsverkets,0,491,491,0.980059880239521
1986,asylsökande,0,490,490,0.98002
1996,invandrarna,0,488,488,0.979939759036145
1998,invandrarverket,0,488,488,0.979939759036145
2013,uppehållstillstånd,0,486,486,0.979858870967742
1988,asylsökande,0,484,484,0.979777327935223
1988,rasism,0,483,483,0.97973630831643
2003,utlänningsnämnden,0,483,483,0.97973630831643
2006,asylsökande,0,476,476,0.979444444444444
2006,rasism,0,476,476,0.979444444444444
2012,asyl,0,471,471,0.979230769230769
2015,flykting,0,517,518,0.979185606060606
2015,invandringen,0,515,516,0.979106463878327
1969,invandrarverket,0,468,468,0.979100418410042
1994,utlänningsnämnden,0,468,468,0.979100418410042
2002,invandrarna,0,465,465,0.978968421052632
2016,flyktingpolitik,0,464,464,0.978924050632911
1969,invandrare,0,464,464,0.978924050632911
1968,zigenarna,0,464,464,0.978924050632911
1994,invandrarna,0,460,460,0.978744680851064
1953,flyktingarna,0,458,458,0.978653846153846
1993,invandrarna,0,458,458,0.978653846153846
2017,invandringen,0,457,457,0.978608137044968
2001,utlänningsnämnden,0,453,453,0.978423326133909
1997,invandrarverket,0,452,452,0.978376623376623
1995,asylsökande,0,495,496,0.978280632411067
2009,uppehållstillstånd,0,449,449,0.978235294117647
1989,flykting,0,493,494,0.978194444444444
1960,flyktingarna,0,446,446,0.978092105263158
1999,uppehållstillstånd,0,446,446,0.978092105263158
1986,rasism,0,445,445,0.978043956043956
2011,uppehållstillstånd,0,445,445,0.978043956043956
1971,zigenare,0,445,445,0.978043956043956
1962,flyktingarna,0,443,443,0.97794701986755
1973,invandrarna,0,443,443,0.97794701986755
1978,assyrier,0,439,439,0.977750556792873
1995,invandrarna,0,439,439,0.977750556792873
2004,rasism,0,438,438,0.977700892857143
1976,assyrierna,0,478,479,0.977525562372188
1987,asylsökande,0,433,433,0.97744920993228
2000,flyktingarna,0,433,433,0.97744920993228
2005,asyl,0,476,477,0.977433264887064
2019,flyktingar,0,432,432,0.977398190045249
2017,flyktingarna,0,429,429,0.977243735763098
1972,invandrarna,0,429,429,0.977243735763098
1968,utlänningskommissionen,0,429,429,0.977243735763098
1987,rasism,0,514,516,0.977205323193916
1973,invandrarverket,0,428,428,0.977191780821918
2010,invandring,0,428,428,0.977191780821918
1983,asyl,0,470,471,0.977151767151767
1990,invandrarna,0,426,426,0.977087155963303
1967,utlänningskommissionen,0,425,425,0.977034482758621
2002,invandringen,0,422,422,0.976875
2010,rasism,0,422,422,0.976875
1982,asyl,0,421,421,0.976821345707657
1970,invandrarverket,0,421,421,0.976821345707657
2012,invandring,0,421,421,0.976821345707657
2009,rasism,0,461,462,0.976716101694915
1961,utlänningskommissionen,0,418,418,0.976658878504673
1951,flyktingarna,0,417,417,0.976604215456674
2012,romer,0,417,417,0.976604215456674
1967,zigenare,0,417,417,0.976604215456674
2000,asylsökande,0,415,415,0.976494117647059
1993,flyktingpolitiken,0,456,457,0.976466809421841
1977,asyl,0,454,455,0.976365591397849
1993,flyktingpolitik,0,412,412,0.97632701421801
1992,invandrarminister,0,412,412,0.97632701421801
1984,invandrarna,0,412,412,0.97632701421801
1979,asyl,0,410,410,0.976214285714286
2009,asyl,0,407,407,0.976043165467626
1989,uppehållstillstånd,0,405,405,0.975927710843374
1992,flykting,0,485,487,0.975875251509054
1993,flykting,0,484,486,0.975826612903226
1987,invandrarminister,0,403,403,0.975811138014528
1990,uppehållstillstånd,0,403,403,0.975811138014528
2014,uppehållstillstånd,0,443,444,0.97579295154185
2000,utlänningsnämnden,0,402,402,0.975752427184466
2000,invandring,0,398,398,0.975514705882353
2018,migrationsverkets,0,397,397,0.975454545454545
1945,flykting,0,754,763,0.975433376455369
1975,invandrarna,0,396,396,0.975394088669951
1974,flyktingarna,0,394,394,0.975272277227723
2002,flyktingarna,0,394,394,0.975272277227723
1978,invandrarverket,0,393,393,0.975210918114144
1990,invandrarverkets,0,393,393,0.975210918114144
1969,uppehållstillstånd,0,391,391,0.975087281795511
1989,invandrarverkets,0,390,390,0.975025
1998,utlänningsnämnden,0,389,389,0.974962406015038
1967,zigenarna,0,389,389,0.974962406015038
1998,asyl,0,388,388,0.974899497487437
2007,asyl,0,388,388,0.974899497487437
1973,flyktingarna,0,387,387,0.974836272040302
1950,utlänningskommissionen,0,387,387,0.974836272040302
1985,invandrarna,0,384,384,0.974644670050761
2012,asylsökande,0,383,383,0.974580152671756
1970,zigenarna,0,383,383,0.974580152671756
1983,flyktingarna,0,381,381,0.974450127877238
2015,asylboenden,0,417,418,0.974322429906542
1999,asyl,0,379,379,0.974318766066838
1980,asyl,0,378,378,0.974252577319588
1986,invandrarna,0,377,377,0.974186046511628
1992,främlingsfientlighet,0,413,414,0.974080188679245
1958,flyktingarna,0,375,375,0.974051948051948
1998,flyktingarna,0,375,375,0.974051948051948
2016,flykting,0,486,489,0.973967935871744
2006,asyl,0,372,372,0.973848167539267
1959,flyktingarna,0,372,372,0.973848167539267
2014,flyktingarna,0,372,372,0.973848167539267
1997,invandrarna,0,372,372,0.973848167539267
1977,assyrier,0,371,371,0.973779527559055
1961,asyl,0,371,371,0.973779527559055
2010,asylsökande,0,371,371,0.973779527559055
2002,migrationsverkets,0,371,371,0.973779527559055
2007,rasism,0,371,371,0.973779527559055
1976,asyl,0,408,409,0.973770883054893
1996,sincari,0,556,561,0.973747810858143
1981,flyktingarna,0,367,367,0.973501326259947
2003,rasism,0,367,367,0.973501326259947
2012,uppehållstillstånd,0,366,366,0.97343085106383
2000,invandrarverket,0,365,365,0.97336
1999,utlänningsnämnden,0,365,365,0.97336
1971,asyl,0,364,364,0.973288770053476
1981,uppehållstillstånd,0,364,364,0.973288770053476
1989,invandrarminister,0,363,363,0.973217158176944
2008,papperslösa,0,399,400,0.97319512195122
1993,främlingsfientlighet,0,362,362,0.973145161290322
1993,invandring,0,361,361,0.973072776280323
1972,asyl,0,397,398,0.973063725490196
1973,asyl,0,360,360,0.973
1977,flyktingarna,0,359,359,0.972926829268293
1978,flyktingarna,0,358,358,0.972853260869565
1989,invandrarna,0,358,358,0.972853260869565
1998,invandrarna,0,358,358,0.972853260869565
2015,ensamkommande_flyktingbarn,0,427,429,0.972687927107062
2015,flyktingmottagandet,0,496,500,0.97256862745098
2015,flyktingmottagande,0,353,353,0.972479338842975
1993,invandringen,0,352,352,0.972403314917127
2019,migrationsverket,0,350,350,0.97225
1971,invandrarverket,0,348,348,0.972094972067039
1994,invandrarverkets,0,348,348,0.972094972067039
1992,invandringen,0,348,348,0.972094972067039
2019,invandring,0,347,347,0.972016806722689
1967,asyl,0,346,346,0.971938202247191
2016,flyktingpolitiken,0,445,448,0.971637554585153
2000,främlingsfientlighet,0,376,377,0.971602067183463
2017,papperslösa,0,341,341,0.971538461538461
2002,invandrarbakgrund,0,338,338,0.971293103448276
1996,flyktingpolitik,0,337,337,0.971210374639769
1965,arbetstillstånd,0,336,336,0.971127167630058
2008,asyl,0,336,336,0.971127167630058
2016,migrationspolitiken,0,335,335,0.97104347826087
1946,utlänningskommissionen,0,335,335,0.97104347826087
2000,invandrarna,0,334,334,0.970959302325581
1983,invandrarna,0,332,332,0.970789473684211
2010,invandringen,0,332,332,0.970789473684211
1975,invandrarverket,0,331,331,0.970703812316716
2014,rasister,0,331,331,0.970703812316716
1972,invandrarverket,0,330,330,0.970617647058823
1986,flykting,0,461,465,0.970547368421053
1968,arbetstillstånd,0,361,362,0.970456989247312
1994,flykting,0,361,362,0.970456989247312
1974,zigenare,0,328,328,0.970443786982248
2005,utlänningsnämnden,0,327,327,0.970356083086053
2008,rasism,0,325,325,0.970179104477612
1988,uppehållstillstånd,0,325,325,0.970179104477612
2010,asyl,0,324,324,0.970089820359281
1955,flyktingarna,0,324,324,0.970089820359281
1968,invandrare,0,323,323,0.97
1995,invandrarminister,0,323,323,0.97
2000,invandrarbakgrund,0,322,322,0.969909638554217
1991,uppehållstillstånd,0,322,322,0.969909638554217
2004,utlänningsnämnden,0,322,322,0.969909638554217
1972,flyktingarna,0,321,321,0.969818731117825
1994,flyktingpolitiken,0,321,321,0.969818731117825
2011,invandring,0,321,321,0.969818731117825
2018,flyktingarna,0,320,320,0.969727272727273
1992,flyktingpolitik,0,320,320,0.969727272727273
1990,invandringen,0,352,353,0.969724517906336
1988,flykting,0,448,452,0.969718614718615
1967,flykting,0,511,517,0.96965844402277
1975,asyl,0,319,319,0.969635258358663
1996,flykting,0,319,319,0.969635258358663
1974,invandrarverket,0,319,319,0.969635258358663
1987,uppehållstillstånd,0,319,319,0.969635258358663
1987,invandrarna,0,317,317,0.969449541284404
1997,utlänningsnämnden,0,315,315,0.969261538461538
1990,flykting,0,440,444,0.969185022026432
1997,invandring,0,314,314,0.969166666666667
1968,uppehållstillstånd,0,314,314,0.969166666666667
1980,assyrier,0,313,313,0.969071207430341
1990,flyktingpolitik,0,312,312,0.968975155279503
1964,flyktingarna,0,310,310,0.96878125
1987,flykting,0,371,373,0.968694516971279
2011,asylsökande,0,305,305,0.968285714285714
1986,uppehållstillstånd,0,305,305,0.968285714285714
1972,zigenare,0,305,305,0.968285714285714
1967,invandrare,0,304,304,0.968184713375796
1969,flyktingarna,0,303,303,0.968083067092652
1978,assyrierna,0,301,301,0.967877813504823
1991,invandrarna,0,300,300,0.967774193548387
2011,rasism,0,329,330,0.967676470588235
2019,asyl,0,299,299,0.967669902912621
1969,arbetstillstånd,0,298,298,0.967564935064935
1969,invandrarna,0,298,298,0.967564935064935
2015,flyktingpolitik,0,327,328,0.967485207100592
1986,invandrarminister,0,297,297,0.967459283387622
2019,asylsökande,0,296,296,0.96735294117647
1988,invandrarna,0,296,296,0.96735294117647
2016,romer,0,296,296,0.96735294117647
1971,dowdell,0,295,295,0.967245901639344
1970,flyktingarna,0,295,295,0.967245901639344
2018,papperslösa,0,295,295,0.967245901639344
1999,zigenare,0,295,295,0.967245901639344
1984,asylsökande,0,294,294,0.967138157894737
2010,uppehållstillstånd,0,323,324,0.967095808383234
1968,flyktingarna,0,292,292,0.966920529801324
2017,migrationspolitiken,0,291,291,0.966810631229236
1998,asylsökande,0,290,290,0.9667
1992,invandring,0,290,290,0.9667
1966,invandringen,0,290,290,0.9667
2019,uppehållstillstånd,0,290,290,0.9667
1965,zigenare,0,290,290,0.9667
1987,zigenare,0,290,290,0.9667
2001,flykting,0,377,380,0.966692307692308
1996,invandring,0,289,289,0.966588628762542
2013,invandringen,0,289,289,0.966588628762542
2015,romska,0,289,289,0.966588628762542
1991,zigenare,0,289,289,0.966588628762542
1991,invandrarverkets,0,288,288,0.966476510067114
1991,flykting,0,374,377,0.966434108527132
1967,arbetstillstånd,0,287,287,0.966363636363636
1985,uppehållstillstånd,0,287,287,0.966363636363636
1973,zigenare,0,287,287,0.966363636363636
1992,christina_rogestam,0,344,346,0.966320224719101
1969,taikon,0,286,286,0.96625
1985,flykting,0,429,434,0.966238738738739
2013,romska,0,371,374,0.966171875
1990,invandrarminister,0,285,285,0.966135593220339
1986,zigenare,0,284,284,0.966020408163265
1964,zigenarna,0,284,284,0.966020408163265
1990,arbetstillstånd,0,283,283,0.965904436860068
1985,invandrarminister,0,283,283,0.965904436860068
2002,flykting,0,281,281,0.965670103092783
2001,invandrarbakgrund,0,281,281,0.965670103092783
1979,rasism,0,281,281,0.965670103092783
2011,asyl,0,308,309,0.965548589341693
1980,invandringen,0,279,279,0.965432525951557
1993,utlänningsnämnden,0,279,279,0.965432525951557
